TimeStamp,Course Name,Module,Problem,Duration,Content Type,Url,eventtype,eventdata
13/07/2015 11:25:24,,,,,,,Tab,Tab Closed [TabID:19]
13/07/2015 11:25:25,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:28:00,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-178422831,Tab,Tab Switched
13/07/2015 11:28:02,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:28:52,,,,,,https://mail.google.com/mail/u/0/#inbox,Tab,Tab Switched
13/07/2015 11:28:56,,,,,,https://mail.google.com/mail/u/0/#inbox,Mouse,"MOUSE3: Mouse clicked! (1205, 282) A [Tag Name :A] undefined"
13/07/2015 11:28:57,,,,,,http://www.google.com/accounts/Logout2?hl=en&service=mail&ilo=1&ils=doritos%2Cwritely%2Co.mail.google.com%2Cs.IN&ilc=1&continue=https%3A%2F%2Fmail.google.com%2Fmail&zx=1049158594,Tab,New Tab
13/07/2015 11:28:57,,,,,,https://accounts.youtube.com/accounts/Logout2?hl=en&service=mail&ilo=1&ils=s.youtube%2Cdoritos%2Cwritely%2Co.mail.google.com%2Cs.IN&ilc=0&continue=https%3A%2F%2Fmail.google.com%2Fmail&zx=41062762,Tab,New Tab
13/07/2015 11:28:58,,,,,,https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1,Tab,New Tab
13/07/2015 11:28:58,,,,,,http://www.google.co.in/accounts/Logout2?hl=en&service=mail&ilo=1&ils=s.IN&ilc=2&continue=https%3A%2F%2Fmail.google.com%2Fmail&zx=-1952753039,Tab,New Tab
13/07/2015 11:28:58,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:29:02,,,,,,https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1,Tab,Tab Switched
13/07/2015 11:29:04,,,,,,https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&ltmpl=default&service=mail&sacu=1&scc=1&passive=1209600&acui=2#Email=vedavyas%40taramt.com,Tab,New Tab
13/07/2015 11:29:10,,,,,,https://accounts.google.com/ServiceLoginAuth,Tab,New Tab
13/07/2015 11:29:12,,,,,,,Window,Window maximized
13/07/2015 11:29:13,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:29:13,,,,,,,Window,Window -Possible Minimize
13/07/2015 11:29:15,,,,,,https://mail.google.com/mail/u/0/,Tab,New Tab
13/07/2015 11:29:16,,,,,,https://mail.google.com/mail/u/0/#inbox,Tab,New Tab
13/07/2015 11:29:22,,,,,,https://mail.google.com/mail/u/0/#inbox,Tab,Tab Switched
13/07/2015 11:29:25,,,,,,https://mail.google.com/mail/u/0/#inbox/14e6f1fc942415f8,Tab,New Tab
13/07/2015 11:29:26,,,,,,https://mail.google.com/mail/u/0/#inbox,Tab,New Tab
13/07/2015 11:29:27,,,,,,https://mail.google.com/mail/u/0/#inbox/14e6ca72fdf57698,Tab,New Tab
13/07/2015 11:29:28,,,,,,https://mail.google.com/mail/u/0/#inbox,Tab,New Tab
13/07/2015 11:29:29,,,,,,https://mail.google.com/mail/u/0/#inbox/14e678d4179b378c,Tab,New Tab
13/07/2015 11:29:30,,,,,,https://mail.google.com/mail/u/0/#inbox,Tab,New Tab
13/07/2015 11:29:31,,,,,,https://mail.google.com/mail/u/0/#inbox/14e770f8c172afc9,Tab,New Tab
